uid,uniqueId
201576,65023639
201576,67000432
201576,65001143
201576,65001144
201576,21025551
201576,64019108
201576,67022568
201576,67053525
201576,67064662
201576,67188895
201576,67271132
201576,21117241
201576,21156850
201576,68471414
201576,21005433
201576,67000426
201576,65001330
201576,20094746
201576,65001496
201576,65001815
201576,65023674
201576,65023736
201576,65023819
201576,20280423
201576,21082430
201576,65038199
201576,21057949
201576,62050157
201576,20266936
201576,68655640
201576,21150424
201576,65002589
201576,65038286
201576,21064058
201576,65002591
201576,21052338
201576,21052347
201576,21094395
201582,65004683
201582,65025606
201582,65025608
201582,67109021
201582,67133074
201582,67157469
201582,67023360
201582,67077126
201582,67084764
201582,20304739
201582,21027710
201582,67523528
201582,65021384
201582,67749047
201582,65024654
201582,65024684
201582,21008981
201582,67469129
201582,67031429
201582,65002827
201582,65023650
201582,20230185
201582,65038311
201582,21059664
201582,21141321
201582,20274875
201582,21016621
201582,21054931
201582,21066794
201582,21082568
201582,21090079
201582,21148517
201582,21150292
201582,21188519
201582,65025651
201582,65025652
201582,65003021
201582,20293289
201582,21138171
201582,65039627
201582,65001887
201582,65001259
201582,67350366
201582,65004390
201582,65004621
201582,67149594
201582,68902191
201582,61062683
201582,65024816
201582,65024821
201582,65021256
201582,65004623
201582,20224900
201582,65001775
201582,65002337
201582,20283268
201582,21026754
201582,21030423
201582,65002979
201582,65003296
201582,67045865
201582,65024799
201582,21090476
201582,65024378
201582,65021292
201582,20276346
201582,67028560
201582,67727622
201582,65001769
201582,65023679
201582,65001671
201582,65023634
201582,65023948
201582,65024969
201582,65001488
201582,65002523
201582,67028548
201582,65023584
201582,65001515
201582,65001928
201582,20274605
201582,67122897
201582,20212418
201596,67011364
201596,65024851
201596,65025475
201596,65021412
201596,21007770
201596,67279755
201596,20209496
201596,67065020
201596,61062682
201596,61062684
201596,20277999
201596,20270171
201596,20065572
201596,65004594
201596,21025609
201596,65021287
201596,65025221
201596,65025224
201596,65025225
201596,65024754
201596,21000781
201596,21029822
201596,67128815
201596,68284632
201596,65002844
201596,21140981
201596,21000619
201596,65001309
201596,67054424
201596,20272683
201596,65003200
201596,67051623
201596,67055988
201596,67183115
201596,67301383
201596,65024903
201596,65023621
201596,65004937
201596,65023241
201596,65023728
201596,65023729
201596,67267835
201596,65021292
201596,20276346
201596,67028560
201596,20291629
201596,20291630
201596,20291631
201596,21007418
201596,65002990
201596,65002994
201596,65039768
201596,65025346
201596,68440907
201596,20228249
201596,67311412
201596,65002128
201596,65002431
201596,65003938
201596,65039802
201596,65002855
201596,21140940
201596,21145781
201596,65025776
201596,65001225
201596,67180044
201596,67345010
201596,32040982
201596,65003730
201596,65024635
201596,21081205
201596,21094395
201596,21152439
201596,32023680
201596,65038306
201596,64030960
201596,67326602
201596,65004174
201596,65038327
201596,20086965
201596,20304682
201596,67064977
201596,65025007
201596,65025010
201596,65001493
201596,65002836
201596,67028542
201596,21041821
201596,62051187
201596,65003276
201596,21150297
201596,65025814
201596,65002850
201596,65023345
201596,65023347
201596,65002865
201596,21141195
201596,62050152
888436,67158725
888436,21189192
888436,68362154
888436,21131510
888436,65000062
888436,21189377
888436,65000175
888436,21028789
888436,68421177
888436,20103643
888436,21031712
888436,21087822
888436,67017903
888436,20280037
888436,21141202
888436,21141183
888436,21031722
888436,21141354
888436,20093126
888436,21018875
888436,21189196
888436,65000044
888436,21141185
888436,21087368
888436,21038478
888436,65000048
888436,20272817
888436,21071761
888436,65000098
888436,65000309
888436,68362156
888436,21031720
888436,21038477
888436,21038318
888436,21051152
888436,21028786
888436,21087372
888436,21188999
888436,21141359
888436,67606813
888436,65000047
888436,65000176
888436,65025136
888436,20271665
888436,21051153
888436,20260325
888436,65000058
888436,65000094
888436,21152629
888436,21031714
888436,67070314
888436,21090926
888436,68520973
888436,21087824
888436,21087816
888436,20093128
888436,21087366
888436,21087825
888436,67158723
888436,65000046
888436,21087371
888522,21141185
888522,21142889
888522,67526330
888522,67898916
888522,68148519
888522,21031714
888522,67070314
888522,65025137
888522,65000044
888522,68421177
888522,21071761
888522,21095090
888522,65000176
888522,65000098
888522,21090925
888522,21088608
888522,21152627
888522,20271670
888522,21141202
888522,21031713
888522,68362159
888522,21028784
888522,68362181
888522,21087374
888522,21038477
888522,21051151
888522,65036972
888522,68362156
888522,20271671
888522,21028787
888522,21031721
888522,21087816
888522,21141610
888522,21087822
888522,21031712
888522,21189189
888522,20276672
888522,65000313
888522,65000174
888522,65000102
888522,21087815
888522,65000045
888522,21026564
888522,21141200
888522,65025136
888522,21038481
888522,21028789
888522,67158723
888522,21088946
888522,21038480
888522,21038478
888522,65000094
888522,20260325
888522,21152629
888522,21189196
888522,21055185
888522,65038606
888522,65000048
888522,65000043
888522,65000062
888522,21087824
888522,65000237
888522,65000311
888522,21051153
888522,21189303
888522,67500261
888522,65000099
888522,21028786
888522,67158725
888522,21087821
889157,21189196
889157,20260325
889157,65000048
889157,65025031
889157,21141200
889157,21031718
889157,21141202
889157,21087372
889157,21038476
889157,21189185
889157,65000094
889157,21087371
889157,21087379
889157,21087368
889157,21038480
889157,65000176
889157,67613440
889157,21038320
889157,67606813
889157,20280037
889157,65000052
889157,21087374
889157,21018875
889157,21087824
889157,65000323
889157,65000101
889157,21090467
889157,21051151
889157,65036972
889157,21031722
889157,68362159
889157,21028788
889157,68195038
889157,68362182
889157,21028786
889157,68520982
889157,21189189
889157,65000209
889157,21038477
889157,65038606
889157,20098611
889157,21141355
889157,67526330
889157,67898916
889157,68148519
889157,21026564
889157,21090925
889157,20093128
889157,21090926
889157,65000207
889157,68594505
889157,65000208
889157,21141185
889157,21031723
889157,20271665
889157,21038478
889157,21031720
889157,68362155
889157,65000178
889157,21141354
889157,21087815
889157,65000309
889157,68362158
889157,21031712
889157,65000313
889157,20223740
889157,20223744
